73,197;894;53,044,857;7,560;22,080,948
73,544;929;137,106,796;23,253;62,307,004
71,816;953;363,154,637;245,354;173,227,032
99,396,813;48,339,202;23,050,236,882;153,301;9,878,519,108
125,128,172;48,305,650;67,137,550,757;301,732;31,095,391,420
176,370,035;48,316,791;224,689,104,012;50,831,354;108,974,378,576
615,634,361;301,281,856;144,503,909,192;386,861;61,956,119,108
770,970,490;301,367,420;422,239,623,631;762,453;195,636,991,420
1,082,951,754;303,082,738;1,421,842,187,273;306,899,531;689,837,259,496
2,436,555,978;1,203,770,857;578,606,720,002;793,123;248,112,119,108
3,064,317,505;1,212,944,047;1,692,476,434,126;1,870,266;784,272,991,420
4,412,580,666;1,588,852,789;5,710,857,602,605;1,215,732,179;2,771,062,059,496
