78,475;948;28,977,252;4,495;11,688,932
78,525;945;52,918,709;5,361;23,861,268
88,551;958;102,268,065;63,714;58,771,124
76,601,552;48,201,786;12,158,485,873;274,509;5,063,070,004
110,786,192;48,212,869;23,458,015,623;288,677;10,928,994,228
471,154,950;48,229,637;53,919,596,504;404,883;32,840,658,628
486,110,147;301,005,690;76,175,114,855;659,273;31,722,630,004
644,547,106;301,208,131;147,143,805,046;729,691;68,587,314,228
1,131,102,428;302,582,051;339,811,913,646;848,815;207,243,619,396
1,911,306,132;1,204,370,817;304,949,154,826;1,565,603;126,995,230,004
2,548,394,380;1,214,954,668;589,286,555,938;1,478,609;274,724,514,228
4,285,865,351;1,800,664,186;1,363,018,807,227;1,917,327;831,635,219,396
