20;2;1;21,113
20;2;4;22,280
20;2;8;19,770
20;2;24;55,382
20;2;48;117,803
20;4;1;16,522
20;4;4;27,716
20;4;8;29,643
20;4;24;78,978
20;4;48;95,424
20;8;1;23,831
20;8;4;43,803
20;8;8;46,366
20;8;24;94,266
20;8;48;120,434
400;2;1;1,395,804
400;2;4;391,040
400;2;8;225,254
400;2;24;163,928
400;2;48;318,371
400;4;1;3,136,697
400;4;4;854,478
400;4;8;461,871
400;4;24;452,017
400;4;48;417,808
400;8;1;8,886,268
400;8;4;2,268,288
400;8;8;1,230,111
400;8;24;1,248,296
400;8;48;1,020,054
1000;2;1;9,121,846
1000;2;4;2,424,743
1000;2;8;1,404,567
1000;2;24;1,619,137
1000;2;48;1,789,023
1000;4;1;20,022,662
1000;4;4;5,207,751
1000;4;8;2,798,884
1000;4;24;1,353,660
1000;4;48;2,323,638
1000;8;1;57,864,472
1000;8;4;15,199,740
1000;8;8;7,692,072
1000;8;24;5,192,935
1000;8;48;6,115,861
2000;2;1;36,133,792
2000;2;4;9,620,545
2000;2;8;5,514,223
2000;2;24;4,178,248
2000;2;48;5,764,022
2000;4;1;79,923,767
2000;4;4;21,297,487
2000;4;8;11,244,257
2000;4;24;4,880,984
2000;4;48;12,506,188
2000;8;1;232,701,511
2000;8;4;58,878,482
2000;8;8;30,271,060
2000;8;24;12,595,036
2000;8;48;23,137,069
